Slice 0:
118.640976 79.661163 0.994596
133.337418 69.483002 0.959723
105.145004 70.518036 0.968832
153.653885 75.287384 0.955608
89.249084 76.871368 0.903601
180.515427 132.618317 0.846928
59.449829 129.852081 0.862751
212.477005 187.802765 0.932746
17.502747 184.453308 0.919573
143.432785 193.892914 0.949494
63.374817 173.555359 0.907815
159.656052 250.182831 0.798680
75.177658 249.724396 0.798233
136.574936 86.463470 0.241304
104.060165 87.696686 0.202066
148.776230 60.701263 0.248722
119.529648 60.128403 0.242387
127.864853 53.056229 0.345541
127.936813 53.300171 0.336830
112.518539 193.332031 0.298949
89.185516 79.690033 0.308881
89.064011 79.474243 0.301228
91.991165 156.571014 0.325540
90.332108 71.585999 0.975268
90.781296 77.660919 0.963096
92.253220 83.910919 0.985754
94.302689 89.684692 0.975627
97.674469 95.179321 0.989521
102.502670 99.593414 0.988075
108.235062 102.796783 0.999587
114.630417 104.664612 0.999343
121.182602 105.005920 1.003122
127.710068 103.895233 0.987292
134.034897 101.683594 0.980454
139.740311 98.565521 0.989511
144.541092 94.205292 0.967178
147.811722 88.626862 0.990264
149.903732 82.716858 0.987593
151.714981 76.221771 0.970024
151.981277 70.303528 0.970320
96.457611 65.537933 0.984190
99.637711 63.869049 0.977702
103.822891 63.317657 0.965814
108.182480 63.468658 0.972267
112.392441 64.066071 0.961716
125.055099 63.541229 0.955742
129.598312 62.650787 0.964321
134.409622 62.314728 0.950396
139.169174 62.762772 0.961685
142.928085 64.321625 0.973040
118.622818 69.530609 0.943738
118.545273 73.387543 0.988492
118.520798 76.808136 1.002556
118.598740 80.383453 1.005783
113.580215 84.336029 0.975282
116.034805 84.879364 0.992429
118.800156 85.094818 0.996588
121.619003 84.714264 0.987923
124.158890 84.060699 0.975276
100.123367 70.916809 0.975847
103.504288 69.881165 0.974628
107.477097 69.615448 0.975433
110.919785 70.617432 0.974393
107.407211 71.819275 1.004947
103.697861 72.033783 0.999746
127.081741 69.931641 0.962334
130.794510 68.681427 0.988775
135.094681 68.784027 0.984708
138.859360 69.710052 0.964740
134.983994 70.922180 0.999050
130.974594 70.882294 0.998017
109.873581 92.516327 0.955655
113.292984 90.926056 0.979037
117.090805 90.077362 0.977808
118.812943 90.098755 0.987724
120.585037 89.970459 0.976470
124.846756 90.590363 0.970943
128.857315 91.900238 0.947234
126.017258 93.388641 0.959500
122.629807 94.480347 0.966832
119.097214 94.943878 0.974365
115.753220 94.752472 0.972949
112.607224 93.876190 0.965346
110.706924 92.521027 0.968834
114.759201 91.870575 0.997212
118.863235 91.582123 0.997144
123.359024 91.614624 0.991796
127.944382 91.962860 0.965456
123.503586 92.696136 0.980801
118.931656 92.989197 0.990074
114.734421 92.993011 0.985973
141.749863 193.703186 0.888949
130.118851 190.092468 0.832307
120.304062 187.454437 0.901760
111.975418 188.195404 0.881786
105.420395 190.540985 0.866341
113.705734 193.199860 0.870036
105.274460 195.804443 0.915837
101.419510 196.560272 0.964613
99.833740 196.647064 0.952075
115.298660 199.100708 0.835829
105.831223 201.325714 0.897411
102.399338 201.060822 0.952280
101.376358 200.275787 0.875442
117.917679 204.505951 0.873245
109.640762 205.603485 0.916404
106.304306 204.856812 0.937492
105.123367 203.718262 0.830999
119.522720 207.478821 0.942135
114.285324 208.200470 0.936618
111.218216 207.693207 0.917204
109.553421 206.772186 0.855447
64.956497 172.842194 0.855177
74.835098 166.439667 0.842726
82.906998 161.186218 0.889521
90.714050 159.141266 0.791460
98.722672 159.523773 0.704234
93.101654 161.463287 0.878564
101.936447 161.311859 0.901114
106.389938 162.265289 0.886924
108.687851 163.306305 0.817668
94.184418 166.571014 0.814482
103.673782 166.299347 0.900140
107.262772 167.375427 0.860530
108.439255 168.365936 0.763067
93.689056 173.268463 0.839469
101.533981 172.777252 0.834604
104.441299 173.094177 0.847680
105.391434 173.385590 0.757709
93.289383 177.551605 0.882564
98.199356 177.623016 0.860819
100.665634 177.470520 0.852609
101.909592 177.204071 0.805436

Slice 1:
117.473740 80.177216 0.977340
132.439285 69.608551 0.976208
104.415787 70.504791 0.976731
153.119125 75.077179 0.943644
88.973038 76.650238 0.922755
180.707779 132.786102 0.831444
61.607162 129.415192 0.850874
212.806717 187.760193 0.915384
12.720093 185.620819 0.903259
144.173416 194.080566 0.943011
65.235825 163.692535 0.890574
159.145737 249.801788 0.828892
75.731522 249.881470 0.823491
135.868790 86.462067 0.218579
103.568619 86.409302 0.165939
124.553482 59.744278 0.245333
126.513809 60.128494 0.243839
126.459305 53.521881 0.377875
126.482071 53.723969 0.365398
111.601212 191.923340 0.322534
90.496323 78.422760 0.326748
90.144028 78.393585 0.319324
133.420395 59.802612 0.314202
90.013794 71.360870 0.966442
90.476242 77.477844 0.982712
91.883347 83.793152 0.980827
93.874466 89.649384 0.998412
97.230713 95.191132 0.985014
101.998825 99.740936 0.981077
107.652847 103.110138 0.980656
114.058792 104.969299 0.998768
120.669968 105.273285 1.015120
127.211777 104.105743 1.003214
133.476456 101.854279 0.997510
139.147934 98.723694 0.990787
143.970169 94.323029 0.989535
147.235275 88.723358 0.993698
149.295059 82.764252 0.984277
151.092697 76.125824 0.966799
151.244431 70.124969 0.976732
95.924026 65.476410 1.004730
99.049210 63.846313 0.995954
103.176376 63.309052 0.973126
107.488571 63.452667 0.974524
111.643723 64.051636 0.966473
124.087082 63.595184 0.940716
128.654739 62.739044 0.966942
133.478378 62.468018 0.972913
138.190140 62.977051 0.976648
141.904373 64.526062 1.014257
117.705551 69.668976 0.954408
117.476212 73.693878 0.983031
117.323563 77.275848 0.998468
117.402267 80.933990 0.995403
112.507706 84.779724 0.985037
114.970718 85.343964 1.007205
117.759781 85.556915 1.003195
120.604202 85.179993 0.995401
123.161636 84.534088 0.981766
99.460175 70.869232 0.991410
102.798935 69.846954 0.990055
106.750137 69.618256 0.992951
110.155197 70.686829 0.979986
106.647812 71.857544 0.990090
102.962204 72.021912 0.995331
126.130905 70.084534 0.972485
129.872055 68.805481 0.992996
134.200729 68.912262 0.996608
137.964951 69.840485 0.994383
134.102585 71.054993 0.996942
130.055862 71.033936 0.996553
109.134598 92.699921 0.965992
112.407913 91.189026 0.976401
116.108963 90.402802 0.985310
117.834457 90.420807 0.997653
119.623398 90.290405 0.988986
123.916122 90.863495 0.977418
127.953201 92.122406 0.952575
125.076218 93.548218 0.973331
121.641006 94.566895 0.966640
118.074203 95.009735 0.975378
114.813766 94.860077 0.974091
111.807144 94.042633 0.977464
109.952347 92.712189 0.978928
113.861618 92.114410 1.001390
117.885696 91.842072 1.000918
122.420273 91.853790 0.995703
127.029465 92.183350 0.971313
122.539047 92.866760 0.991333
117.918076 93.144928 0.999268
113.836655 93.175720 0.998104
142.494919 193.873993 0.891471
130.890579 190.351776 0.822997
121.038193 187.931488 0.885272
112.601730 188.947113 0.861878
105.252274 191.433929 0.833458
113.720749 193.149384 0.901056
104.851913 195.736359 0.929152
100.203156 196.619812 0.978239
97.944962 196.907928 0.977881
115.034683 198.821411 0.844969
105.097977 200.985870 0.913015
100.837997 200.985107 0.963712
99.101181 200.519257 0.904635
117.653854 204.466217 0.884637
109.047745 205.494080 0.933220
105.171036 205.010284 0.958202
103.351151 204.142273 0.841850
119.156357 207.620392 0.958124
113.731888 208.310516 0.962056
110.468369 207.944458 0.947306
108.527878 207.219879 0.869727
66.786850 162.824738 0.848098
76.835999 155.417511 0.859248
84.609238 150.374542 0.889826
92.609116 148.474823 0.800335
100.287399 148.397095 0.753539
96.274124 152.027069 0.828692
104.566849 151.343811 0.884979
107.444901 151.403717 0.912875
108.142166 151.757355 0.841415
98.238785 157.559235 0.812076
106.247025 156.375000 0.911973
108.023788 156.413422 0.916721
107.606644 156.707458 0.815640
98.128433 163.562836 0.880916
104.545273 162.376068 0.927347
106.173965 161.976379 0.952808
105.939194 161.747040 0.864227
97.733444 167.272736 0.906228
101.715347 166.877563 0.935871
103.437912 166.385468 0.905040
103.999191 165.834808 0.850867

Slice 2:
116.705002 79.944687 0.990676
131.454391 69.798599 0.966981
103.884842 70.542801 0.979288
152.727249 75.365982 0.970432
88.588455 76.691849 0.920822
181.132919 132.691727 0.857769
62.517227 128.741226 0.869621
212.959061 187.832230 0.941585
10.454269 183.861618 0.917810
143.915298 194.418167 0.928273
65.098465 156.370956 0.899484
160.235825 249.765976 0.839247
77.320938 250.467636 0.818131
135.170334 85.806351 0.199037
102.207443 85.507370 0.152170
151.219711 61.596298 0.219331
142.256668 61.139359 0.193198
126.093491 51.130157 0.304486
125.947403 51.174393 0.294708
111.482895 192.450607 0.279459
88.512802 78.986923 0.283017
70.755264 146.406204 0.276455
94.390305 145.237198 0.328907
89.554703 71.356339 0.965930
90.080734 77.518112 0.971604
91.561920 83.812119 1.004103
93.510941 89.577530 0.980563
96.712585 94.988602 0.986226
101.278763 99.626785 0.986383
106.719986 103.134415 0.978970
113.056259 105.004776 0.994118
119.732803 105.228745 1.006331
126.472061 104.089737 0.980665
132.820541 101.869339 0.975093
138.393784 98.758316 0.978255
143.179214 94.391159 0.972207
146.509109 88.889542 0.988189
148.695053 82.973007 0.979588
150.659531 76.368881 0.972916
150.861557 70.530899 0.980211
95.318741 65.336349 0.986893
98.435196 63.727951 0.991171
102.568771 63.248215 0.981190
106.922501 63.414169 0.984324
111.111832 63.986710 0.959112
123.334152 63.493881 0.963177
127.854202 62.695236 0.982878
132.644455 62.485428 0.976988
137.337265 63.044144 0.989358
141.115982 64.676163 0.985146
117.053604 69.632431 0.957476
116.798447 73.600327 0.983333
116.601273 77.067978 0.999528
116.615799 80.664932 0.995106
111.824173 84.578506 0.979674
114.235580 85.119736 0.987732
116.933334 85.329147 0.998293
119.698074 84.976395 0.997738
122.211655 84.356155 0.975941
98.933212 70.864426 0.988836
102.268387 69.872421 0.976001
106.209946 69.678085 0.971038
109.603867 70.732712 0.974297
106.129440 71.914566 0.986746
102.461349 72.062729 0.992587
125.231705 70.171066 0.977794
128.929184 68.950363 0.987360
133.214188 69.124130 0.985864
136.984909 70.104507 0.978916
133.060745 71.292252 0.997651
129.053970 71.206131 1.001133
108.691116 92.928787 0.977506
111.844284 91.290482 1.005641
115.376083 90.331863 0.993852
117.044418 90.337662 0.991425
118.776840 90.216629 0.983815
122.953323 90.937729 0.986732
126.934250 92.319321 0.957915
124.167862 93.861588 0.971713
120.871170 94.992233 0.982112
117.360428 95.484360 0.982282
114.142166 95.287979 0.980238
111.254593 94.375198 0.979842
109.486740 92.948929 0.981421
113.239426 92.251694 1.007927
117.119095 91.887466 1.000347
121.523117 91.972488 1.003285
126.023849 92.385117 0.977756
121.685318 93.138199 0.986439
117.182602 93.433853 0.983737
113.211227 93.460587 0.992302
142.195816 194.230148 0.884208
131.019241 190.574539 0.852643
121.212723 187.805496 0.921620
112.925674 188.447403 0.897058
105.968948 190.562515 0.866254
114.754379 193.430008 0.891879
106.141251 195.550064 0.935446
101.319138 196.277603 0.989978
98.946274 196.603256 0.980194
116.138596 199.313583 0.871537
106.579575 201.250046 0.928001
101.949112 201.189011 0.971012
99.999802 200.686539 0.919419
118.642288 204.750168 0.920974
110.394821 205.903183 0.916465
106.274612 205.530136 0.931304
104.186661 204.641891 0.862712
120.219284 207.814011 0.956914
114.866440 208.670181 0.964155
111.580002 208.474289 0.932624
109.515427 207.822861 0.868183
66.666214 155.457809 0.867217
75.515244 148.365067 0.872869
82.714554 143.192032 0.904165
89.903091 141.082382 0.815094
96.497726 141.165604 0.764259
95.108627 144.200150 0.858703
102.371933 143.699722 0.900088
104.528488 144.498856 0.927032
104.579788 145.576828 0.881186
97.631668 149.519791 0.852706
105.016434 149.166367 0.898055
