Y_test,Y_pred,accuracy
影響 這些 客 人 感覺 急,影響 這些 客 人 感覺 急,1.0
特別 甚麼 地方 關於 收入 但是 同時 其實 支出 減 不 經濟 下降,特別 甚麼 地方 關於 收入 但是 同時 其實 支出 減 不 經濟 下降,1.0
但是 政府 陳 波 說 支出 繼續 加 今 年 <X> 經濟 退步 沒 估 二 零 二 三 二 零 二 四 左右 月 月 十 九 支出,但是 政府 陳 波 說 支出 繼續 加 今 年 <X> 經濟 退步 沒 估 二 零 二 三 二 零 二 四 左右 月 月 十 九 支出,1.0
天氣 情況 現在 上升 一 八 有 濕 百分比 七 十,天氣 情況 現在 上升 一 八 有 濕 百分比 七 十,1.0
名字 下 說 香港 長 立 國 安全 規則 不 未來 某些人 容易 入侵 破壞 破壞 <MUMBLE> 破壞 一 國 兩 制,名字 下 說 香港 長 立 國 安全 規則 不 未來 某些人 容易 入侵 破壞 破壞 <MUMBLE> 破壞 一 國 兩 制,1.0
男 病 沙 佐敦 醫院 分開 治療 轉 <BAD> 送 另 名字 馬 醫院 分開,男 病 沙 佐敦 醫院 分開 治療 轉 <BAD> 送 另 名字 馬 醫院 分開,1.0
不能 限制 買 字 不能 要 保護 口罩 賣 <X> 能,不能 限制 買 字 不能 要 保護 口罩 賣 <X> 能,1.0
工作 錢 加 或者 上升 政府 答 要 包括 甚麼 五 這 這 這,工作 錢 加 或者 上升 政府 答 要 包括 甚麼 五 這 這 這,1.0
國 衞生 健康 委員會 說 肺 炎 有 重要 呼吸 打噴嚏 飛沫 傳染 或者 接觸 傳染 能,國 衞生 健康 委員會 說 肺 炎 有 重要 呼吸 打噴嚏 飛沫 傳染 或者 接觸 傳染 能,1.0
說 發燒 各種 有否 日 十 四 內 有否 去 武漢 曾經 返 香港 人 比 以前 兩 日 前 多 後 排隊 時間 長 完 負責 海關 口罩 有 護目鏡 加,說 發燒 各種 有否 日 十 四 內 有否 去 武漢 曾經 返 香港 人 比 以前 兩 日 前 多 後 排隊 時間 長 完 負責 海關 口罩 有 護目鏡 加,1.0
醫生 組 覺得 困難 決定 請假 為何 批評 政府 一直 處理 好 內地 來 香港 危險 沒,醫生 組 覺得 困難 決定 請假 為何 批評 政府 一直 處理 好 內地 來 香港 危險 沒,1.0
政府 現在 內地 政府 合作 包括 海 關,政府 現在 內地 政府 合作 包括 海 關,1.0
估 會 進 一 步 賣 賣 賣 貨 有,估 會 進 一 步 賣 賣 賣 貨 有,1.0
差不多 日 半 <MUMBLE> 歐洲 解除合作關係 <MUMBLE> <BAD> <BAD> <MUMBLE> 名字,差不多 日 半 <MUMBLE> 歐洲 解除合作關係 <MUMBLE> <BAD> <BAD> <MUMBLE> 名字,1.0
