ID,Decoded Sentence,Target Sentence,Accuracy
2020-01-16/027393-027476,"['取', '動物', '處理', '不', '<BAD>', '<BAD>']","['影響', '這些', '客', '人', '感覺', '急']",0.0
2020-01-18/002908-003094,"['香港', '再', '加', '四', '百', '人', '保留', '夜', '診所', '診所', '情況', '減少', '懷疑', '情況', '今', '控制', '香港', '有', '全部', '全部', '能']","['特別', '甚麼', '地方', '關於', '收入', '但是', '同時', '其實', '支出', '減', '不', '經濟', '下降', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-01-19/020005-020272,"['國', '泰', '飛機', '投票', '給', '給我', '能', '新', '肺炎', '証實', '肺炎', '這', '曾經', '去', '亞', '二', '億', '能', '一', '千', '二', '十', '二', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['但是', '政府', '陳', '波', '說', '支出', '繼續', '加', '今', '年', '<X>', '經濟', '退步', '沒', '估', '二', '零', '二', '三', '二', '零', '二', '四', '左右', '月', '月', '十', '九', '支出']",0.034482758620689655
2020-01-19/032266-032383,"['警察', '負責', '制服', '我們', '曾經', '衣', '某些', '人', '不', '<BAD>', '<BAD>']","['天氣', '情況', '現在', '上升', '一', '八', '有', '濕', '百分比', '七', '十']",0.0
2020-01-20/000983-001224,"['給', '去', '勇敢', '有', '研究', '限制', '限制', '留', '萬', '三', '月', '負責人', '名字', 'C', '說', '處理', '公', '規則', '會', '<BAD>', '<BAD>', '<BAD>']","['名字', '下', '說', '香港', '長', '立', '國', '安全', '規則', '不', '未來', '某些人', '容易', '入侵', '破壞', '破壞', '<MUMBLE>', '破壞', '一', '國', '兩', '制']",0.0
2020-01-22/002042-002267,"['天氣', '情況', '雲', '多', '澳門', '下雨', '有', '部分', '下雨', '南', '明日', '<MUMBLE>', '山', '溫度', '二', '至', '二', '十', '二', '三', '三', '風', '或者', '風', '南', '重要']","['男', '病', '沙', '佐敦', '醫院', '分開', '治療', '轉', '<BAD>', '送', '另', '名字', '馬', '醫院', '分開', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-01-22/007309-007496,"['他', '說', '一', '分鐘', '剛剛', '市民', '身份', '真', '六', '四', '萬', '七', '月', '三', '十', '二']","['不能', '限制', '買', '字', '不能', '要', '保護', '口罩', '賣', '<X>', '能', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-01-25/022956-023151,"['他', '現在', '是不是', '有', '二', '十', '機會', '情況', '<X>', '嚴', '五', '四', '一', '至', '百', '三']","['工作', '錢', '加', '或者', '上升', '政府', '答', '要', '包括', '甚麼', '五', '這', '這', '這', '<BAD>', '<BAD>']",0.0625
2020-01-28/000736-000983,"['選', '管', '屋', '說', '會', 'C', '林', '月', '一', '<MUMBLE>', '主動', '生意', '再', '加', '六', '時', '零', '點', '三', '百']","['國', '衞生', '健康', '委員會', '說', '肺', '炎', '有', '重要', '呼吸', '打噴嚏', '飛沫', '傳染', '或者', '接觸', '傳染', '能', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-01-29/010520-010860,"['我', '想', '政府', '處理', '全部', '豁免', '不幸', '法', '處理', '有', '有些', '不要', '例如', '分別', '自', '給', '給', '完成', '給', '一', '三', '三', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['說', '發燒', '各種', '有否', '日', '十', '四', '內', '有否', '去', '武漢', '曾經', '返', '香港', '人', '比', '以前', '兩', '日', '前', '多', '後', '排隊', '時間', '長', '完', '負責', '海關', '口罩', '有', '護目鏡', '加']",0.0
2020-01-29/026002-026184,"['八', '馬', '爭鬥', '一', '零', '樓', '十', '萬', '萬', '分離', '未', '禁止', '時', '時', '時', '<BAD>', '<BAD>']","['醫生', '組', '覺得', '困難', '決定', '請假', '為何', '批評', '政府', '一直', '處理', '好', '內地', '來', '香港', '危險', '沒']",0.0
2020-01-30/009172-009267,"['政府', '會', '估', '五', '會', '新', '地區', '人', '不']","['政府', '現在', '內地', '政府', '合作', '包括', '海', '關', '<BAD>']",0.1111111111111111
2020-01-30/009534-009608,"['香港', '人', '感覺', '發生', '有', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['估', '會', '進', '一', '步', '賣', '賣', '賣', '貨', '有']",0.0
2020-01-31/025376-025567,"['這', '政府', '發生', '病', '毒', '不能', '不', '博', '屋', '房', '車']","['差不多', '日', '半', '<MUMBLE>', '歐洲', '解除合作關係', '<MUMBLE>', '<BAD>', '<BAD>', '<MUMBLE>', '名字']",0.0
2020-02-01/008425-008565,"['名字', '李家超', '說', '真', '處理', '香港', '今', '經濟', '有關', '有關', '恢復', '不', '<BAD>']","['今日', '暫時', '新', '加', '肺', '炎', '沒', '全部', '計算', '有', '十', '三', '仍然']",0.0
2020-02-01/012257-012371,"['全部', '工作', '警察', '取', '名字', '成立', '計劃', '能', '能', '<BAD>']","['家', '靠', '媽媽', '一', '工作', '收入', '低', '但是', '口罩', '加價']",0.0
2020-02-01/014436-014676,"['我', '去', '快', '加', '給', '期間', '評估', '變', '處理', '真', '準備', '加入', '傳染', '檢測', '真', '休', '真', '給', '給', '真', '我', '我', '能', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['內地', '新', '肺', '炎', '確定', '病', '加', '一', '萬', '一', '千', '八', '百', '全部', '二', '百', '五', '十', '九', '人', '死亡', '<X>', '超', '二', '七', '零', '人', '康復']",0.0
2020-02-01/023109-023272,"['現在', '身份', '現在', '肺', '發炎', '六', '上升', '期間', '新', '病', '人', '沒', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['聯署', '<X>', '區域', '議員', '深水埗', '區域', '議員', '估', '最', '快', '星期', '一', '召集', '緊急', '開會', '談']",0.0
2020-02-01/028700-028839,"['有', '部分', '老', '商場', '有', '部分', '歲', '死亡', '人', '不能', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['歲', '二', '十', '英國', '年輕', '名字', 'O', '說', '脫離', '歐洲', '英國', '會', '自', '權', '能']",0.0
